regionCNC;N° auto;nom;region administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unite urbaine;population unite urbaine;situation geographique;ecrans;fauteuils;semaines d'activite;seances;entrees 2022;entrees 2021;evolution entrees;tranche d'entrees;programmateur;AE;categorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmes;nombre de films inedits;nombre de films en semaine 1;PdM en entrees des films français;PdM en entrees des films americains;PdM en entrees des films europeens;PdM en entrees des autres films;films Art et Essai;PdM en entrees des films Art et Essai;latitude;longitude;geolocalisation
7;81545;CGR POLYGONE RIVIERA;PROVENCE-ALPES-COTE D'AZUR;AVENUE DES ALPES;6027;Cagnes-sur-Mer;52575.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;10.0;1728.0;53.0;19500.0;381281.0;231660.0;64.58646291979626;De 300 à 450 000 entrees;CGR;NON;NON;;FIXE;OUI;B;206.0;177.0;174.0;28.60648780307783;53.820929043278376;12.627913474870702;4.944669678773085;21.0;2.2327194892423514;43.661565;7.1357;43.661565, 7.1357
7;279663;CINE LA STRADA;PROVENCE-ALPES-COTE D'AZUR;AVENUE DE CANNES;6084;Mouans-Sartoux;10397.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;5.0;847.0;53.0;7833.0;170258.0;112743.0;51.0142536565463;De 150 à 200 000 entrees;;OUI;C;;FIXE;NON;B;276.0;226.0;130.0;40.71329729985453;43.887121382360945;11.597733912076736;3.8018474057077976;132.0;10.113422667975541;43.617882;6.97286;43.617882, 6.97286
7;23392;L EAU VIVE;PROVENCE-ALPES-COTE D'AZUR;AVENUE CHARLES DE GAULLE;5006;L' Argentière-la-Bessee;2324.0;5;5101;L'Argentière-la-Bessee;2324.0;06-autres communes et unites urbaines;1.0;159.0;53.0;660.0;8470.0;5664.0;49.5409604519774;De 5 à 10 000 entrees;;OUI;E;PR;FIXE;NON;I;291.0;245.0;4.0;64.6944982029306;20.16864805087089;11.197124688968758;3.9397290572297483;145.0;49.69588056400332;44.792274;6.558372;44.792274, 6.558372
7;104824;CINEMA LE REX;PROVENCE-ALPES-COTE D'AZUR;AVENUE LEO LAGRANGE;13027;Châteaurenard;16454.0;13;754;Avignon;470065.0;04-Unites urbaines de 100 000 hbts ou plus;3.0;329.0;50.0;2961.0;34002.0;16660.0;104.09363745498199;De 30 à 40 000 entrees;;OUI;C;;FIXE;NON;B;283.0;205.0;68.0;49.5754000178779;38.29444891391794;7.246506361550608;4.8836447066535555;143.0;19.722296713447157;43.885453;4.855476;43.885453, 4.855476
7;138595;CINE TOILES;PROVENCE-ALPES-COTE D'AZUR;AVENUE FRANCOIS CUZIN;4070;Digne-les-Bains;17804.0;4;4301;Digne-les-Bains;18681.0;06-autres communes et unites urbaines;4.0;767.0;53.0;5810.0;70764.0;42599.0;66.11657550646729;De 50 à 80 000 entrees;;OUI;E;RDJP;FIXE;NON;C;293.0;219.0;184.0;45.70927692838257;40.00603517645707;9.67927347971031;4.605414415450052;153.0;21.54845384526957;44.087669;6.231264;44.087669, 6.231264
7;250410;CHATEAU DE LA BUZINE;PROVENCE-ALPES-COTE D'AZUR;56 TRAVERSE DE LA BUZINE;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;345.0;52.0;1276.0;22433.0;9941.0;125.66140227341313;De 20 à 30 000 entrees;;NON;NON;;FIXE;NON;C;106.0;77.0;6.0;54.99613501674826;26.518938417933523;14.388044318474618;4.096882246843597;42.0;21.700592630765268;43.294553;5.498707;43.294553, 5.498707
7;250412;GYPTIS;PROVENCE-ALPES-COTE D'AZUR;136 RUE LOUBON;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;230.0;46.0;884.0;23431.0;5622.0;316.77339025257913;De 20 à 30 000 entrees;;OUI;A;RDJPPR;FIXE;NON;C;169.0;74.0;11.0;52.39376276590445;20.6994470183829;20.50017436357296;6.40661585213969;120.0;70.38808349524237;43.312724;5.384422;43.312724, 5.384422
7;306601;LE DAHUT;PROVENCE-ALPES-COTE D'AZUR;1 RUE SAINT JEAN;6094;Peone;886.0;6;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;251.0;25.0;306.0;5836.0;3280.0;77.92682926829269;De 5 à 10 000 entrees;;NON;NON;;FIXE;NON;R;92.0;78.0;7.0;42.32822455656965;47.90769760633718;5.75167900809368;4.012398828999483;28.0;11.692784570346133;44.0967176;6.928323500000033;44.0967176, 6.928323500000033
7;338342;CINEMA DE LA FORET BLANCHE;PROVENCE-ALPES-COTE D'AZUR;STATION DE RISOUL 1850;5119;Risoul;676.0;5;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;2.0;308.0;28.0;867.0;9447.0;4940.0;91.23481781376519;De 5 à 10 000 entrees;;NON;NON;;FIXE;NON;R;73.0;61.0;18.0;41.76906779661017;47.83898305084745;8.125;2.266949152542373;10.0;1.4830508474576272;44.647615;6.629737;44.647615, 6.629737
7;723920;ARTPLEXE;PROVENCE-ALPES-COTE D'AZUR;SQUARE LEON BLUM;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;7.0;824.0;53.0;12787.0;104378.0;18533.0;463.200776992392;De 100 à 150 000 entrees;;NON;NON;;FIXE;NON;C;245.0;185.0;133.0;38.685382047050695;41.989676478489464;14.457727290171546;4.867214184288291;96.0;21.170894577272904;43.298607;5.383105;43.298607, 5.383105
